"year","month","temperature"
1970,"Лютий",-4.9
1971,"Лютий",-3.6
1972,"Лютий",-4.4
1973,"Лютий",-0.2
1974,"Лютий",-0.1
1975,"Лютий",-2
1976,"Лютий",-8.7
1977,"Лютий",-1
1978,"Лютий",-5.2
1979,"Лютий",-6.3
1980,"Лютий",-4.4
1981,"Лютий",-2.2
1982,"Лютий",-4.9
1983,"Лютий",-2.6
1984,"Лютий",-5.9
1985,"Лютий",-12.5
1986,"Лютий",-9.2
1987,"Лютий",-3.9
1988,"Лютий",-3.4
1989,"Лютий",2.5
1990,"Лютий",2.7
1991,"Лютий",-5.8
1992,"Лютий",-1.7
1993,"Лютий",-2.4
1994,"Лютий",-5.8
1995,"Лютий",2.2
1996,"Лютий",-7.1
1997,"Лютий",-1.1
1998,"Лютий",0.4
1999,"Лютий",-1.5
2000,"Лютий",0
2001,"Лютий",-2.5
2002,"Лютий",3.7
2003,"Лютий",-6.4
2004,"Лютий",-2.6
2005,"Лютий",-5.1
2006,"Лютий",-6.1
2007,"Лютий",-4.2
2008,"Лютий",0.6
2009,"Лютий",-1.7
2010,"Лютий",-3.2
2011,"Лютий",-6.1
2012,"Лютий",-10
2013,"Лютий",-0.6
2014,"Лютий",-0.5
1812,"Березень",-0.4
1813,"Березень",-0.3
1814,"Березень",0.7
1815,"Березень",-1.7
1816,"Березень",3
1817,"Березень",2.7
1818,"Березень",4
1819,"Березень",1.6
1820,"Березень",-2.1
1821,"Березень",-3.3
1822,"Березень",3.8
1823,"Березень",2.1
1824,"Березень",3.4
1825,"Березень",-5
1826,"Березень",-0.8
1827,"Березень",1.5
1828,"Березень",0.4
1829,"Березень",-2.6
1830,"Березень",-2.3
1831,"Березень",-2.3
1832,"Березень",-3.7
1833,"Березень",-0.8
1834,"Березень",0.3
1835,"Березень",0.7
1836,"Березень",5.2
1837,"Березень",-0.7
1838,"Березень",-0.4
1839,"Березень",-5.6
1840,"Березень",-2
1841,"Березень",-1.8
1842,"Березень",-0.3
1843,"Березень",-0.2
1844,"Березень",-1.3
1845,"Березень",-4.4
1847,"Березень",-0.2
1851,"Березень",-1.3
1852,"Березень",-1.3
1853,"Березень",-0.3
1854,"Березень",-2.7
1855,"Березень",0.9
1856,"Березень",-4.1
1857,"Березень",0.5
1858,"Березень",-2
1859,"Березень",0
1860,"Березень",-4.8
1861,"Березень",0.7
1862,"Березень",1.2
1863,"Березень",1.9
1864,"Березень",3
1865,"Березень",-3.5
1866,"Березень",3.6
1867,"Березень",-5.7
1868,"Березень",-1.5
1869,"Березень",2.4
1870,"Березень",-2.3
1871,"Березень",-2.1
1872,"Березень",0.9
1873,"Березень",1.2
1874,"Березень",-2.3
1875,"Березень",-7.3
1876,"Березень",3.9
1877,"Березень",-1
1878,"Березень",-0.6
1879,"Березень",-1.8
1880,"Березень",-3.3
1881,"Березень",-2.2
1882,"Березень",4.4
1883,"Березень",-3.8
1884,"Березень",-2.6
1885,"Березень",0
1886,"Березень",-3.9
1887,"Березень",-0.9
1888,"Березень",-2.1
1889,"Березень",-4.8
1890,"Березень",1.6
1891,"Березень",1.1
1892,"Березень",-1.3
1893,"Березень",-0.1
1894,"Березень",1.4
1895,"Березень",-1.7
1896,"Березень",-0.8
1897,"Березень",1.1
1898,"Березень",-4.4
1899,"Березень",-0.3
1900,"Березень",-2.8
1901,"Березень",0.5
1902,"Березень",0.3
1903,"Березень",3.8
1904,"Березень",-2.4
1905,"Березень",-1.5
1906,"Березень",1.9
1907,"Березень",-2.5
1908,"Березень",-1.7
1909,"Березень",-1.6
1910,"Березень",1.4
1911,"Березень",-0.9
1912,"Березень",2.2
1913,"Березень",4.2
1914,"Березень",3.9
1915,"Березень",-3
1916,"Березень",0.9
1917,"Березень",-3.7
1918,"Березень",0.3
1919,"Березень",-0.6
1920,"Березень",2.9
1921,"Березень",4.8
1922,"Березень",1.4
1923,"Березень",1
1924,"Березень",-3.5
1925,"Березень",1.9
1926,"Березень",-1.9
1927,"Березень",1.7
1928,"Березень",-5.3
1929,"Березень",-4.6
1930,"Березень",2.3
1931,"Березень",-2.8
1932,"Березень",-4.8
1933,"Березень",-1.2
1934,"Березень",3.4
1935,"Березень",-1.1
1936,"Березень",2.9
1937,"Березень",2.1
1938,"Березень",3.4
1939,"Березень",-0.5
1940,"Березень",-3.5
1941,"Березень",-1.6
1942,"Березень",-6.9
1943,"Березень",0.7
1944,"Березень",0.3
1945,"Березень",-0.4
1946,"Березень",0.2
1947,"Березень",0.3
1948,"Березень",-1
1949,"Березень",-0.3
1950,"Березень",1.1
1951,"Березень",0.7
1952,"Березень",-6.4
1953,"Березень",0.5
1954,"Березень",0.9
1955,"Березень",-0.8
1956,"Березень",-2.8
1957,"Березень",-0.3
1958,"Березень",-0.6
1959,"Березень",1.8
1960,"Березень",-2.2
1961,"Березень",3.4
1962,"Березень",-1.6
1963,"Березень",-3.9
1964,"Березень",-4.2
1965,"Березень",-0.2
1966,"Березень",3.3
1967,"Березень",1.6
1968,"Березень",1
1969,"Березень",-3.5
1970,"Березень",0.5
1971,"Березень",-1.7
1972,"Березень",1.5
1973,"Березень",1.6
1974,"Березень",2.7
1975,"Березень",3.7
1976,"Березень",0
1977,"Березень",2.8
1978,"Березень",2.3
1979,"Березень",2.2
1980,"Березень",-3.6
1981,"Березень",2
1982,"Березень",2
1983,"Березень",3.2
1984,"Березень",0.4
1985,"Березень",-3.3
1986,"Березень",0.2
1987,"Березень",-5.7
1988,"Березень",1.3
1989,"Березень",5.2
1990,"Березень",6.9
